State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,ADILABAD,Bajra,01-02-2001,Rabi,628,Hectare,293,Tonnes,0.46656051
Andhra Pradesh,ADILABAD,Bajra,01-03-2002,Rabi,960,Hectare,455,Tonnes,0.473958333
Andhra Pradesh,ADILABAD,Bajra,01-04-2003,Rabi,1820,Hectare,1112,Tonnes,0.610989011
Andhra Pradesh,ANANTAPUR,Bajra,01-02-2001,Kharif,1595,Hectare,526,Tonnes,0.329780564
Andhra Pradesh,ANANTAPUR,Bajra,01-02-2001,Rabi,27,Hectare,9,Tonnes,0.333333333
Andhra Pradesh,ANANTAPUR,Bajra,01-03-2002,Kharif,1925,Hectare,581,Tonnes,0.301818182
Andhra Pradesh,ANANTAPUR,Bajra,01-03-2002,Rabi,129,Hectare,39,Tonnes,0.302325581
Andhra Pradesh,ANANTAPUR,Bajra,01-04-2003,Kharif,2280,Hectare,378,Tonnes,0.165789474
Andhra Pradesh,ANANTAPUR,Bajra,01-04-2003,Rabi,113,Hectare,19,Tonnes,0.168141593
Andhra Pradesh,CHITTOOR,Bajra,01-02-2001,Kharif,2934,Hectare,3556,Tonnes,1.211997273
Andhra Pradesh,CHITTOOR,Bajra,01-02-2001,Rabi,258,Hectare,313,Tonnes,1.213178295
Andhra Pradesh,CHITTOOR,Bajra,01-03-2002,Kharif,2366,Hectare,1171,Tonnes,0.494928149
Andhra Pradesh,CHITTOOR,Bajra,01-03-2002,Rabi,42,Hectare,21,Tonnes,0.5
Andhra Pradesh,CHITTOOR,Bajra,01-04-2003,Kharif,2166,Hectare,3611,Tonnes,1.667128347
Andhra Pradesh,CHITTOOR,Bajra,01-04-2003,Rabi,36,Hectare,60,Tonnes,1.666666667
Andhra Pradesh,EAST GODAVARI,Bajra,01-02-2001,Kharif,2219,Hectare,2048,Tonnes,0.92293826
Andhra Pradesh,EAST GODAVARI,Bajra,01-03-2002,Kharif,1196,Hectare,1051,Tonnes,0.878762542
Andhra Pradesh,EAST GODAVARI,Bajra,01-04-2003,Kharif,2698,Hectare,2301,Tonnes,0.852853966
Andhra Pradesh,GUNTUR,Bajra,01-02-2001,Kharif,77,Hectare,76,Tonnes,0.987012987
Andhra Pradesh,GUNTUR,Bajra,01-02-2001,Rabi,43,Hectare,43,Tonnes,1
Andhra Pradesh,GUNTUR,Bajra,01-03-2002,Kharif,419,Hectare,356,Tonnes,0.849642005
Andhra Pradesh,GUNTUR,Bajra,01-03-2002,Rabi,6,Hectare,5,Tonnes,0.833333333
Andhra Pradesh,GUNTUR,Bajra,01-04-2003,Kharif,16082,Hectare,21839,Tonnes,1.357977863
Andhra Pradesh,GUNTUR,Bajra,01-04-2003,Rabi,197,Hectare,268,Tonnes,1.360406091
Andhra Pradesh,KADAPA,Bajra,01-02-2001,Kharif,1395,Hectare,2514,Tonnes,1.802150538
Andhra Pradesh,KADAPA,Bajra,01-02-2001,Rabi,1524,Hectare,2746,Tonnes,1.80183727
Andhra Pradesh,KADAPA,Bajra,01-03-2002,Kharif,2866,Hectare,2814,Tonnes,0.981856246
Andhra Pradesh,KADAPA,Bajra,01-03-2002,Rabi,674,Hectare,661,Tonnes,0.980712166
Andhra Pradesh,KADAPA,Bajra,01-04-2003,Kharif,4332,Hectare,3829,Tonnes,0.88388735
Andhra Pradesh,KADAPA,Bajra,01-04-2003,Rabi,992,Hectare,877,Tonnes,0.884072581
Andhra Pradesh,KARIMNAGAR,Bajra,01-02-2001,Rabi,471,Hectare,220,Tonnes,0.467091295
Andhra Pradesh,KARIMNAGAR,Bajra,01-03-2002,Rabi,330,Hectare,156,Tonnes,0.472727273
Andhra Pradesh,KARIMNAGAR,Bajra,01-04-2003,Rabi,939,Hectare,574,Tonnes,0.611288605
Andhra Pradesh,KHAMMAM,Bajra,01-02-2001,Kharif,124,Hectare,58,Tonnes,0.467741935
Andhra Pradesh,KHAMMAM,Bajra,01-02-2001,Rabi,73,Hectare,34,Tonnes,0.465753425
Andhra Pradesh,KHAMMAM,Bajra,01-03-2002,Kharif,292,Hectare,138,Tonnes,0.47260274
Andhra Pradesh,KHAMMAM,Bajra,01-03-2002,Rabi,24,Hectare,11,Tonnes,0.458333333
Andhra Pradesh,KHAMMAM,Bajra,01-04-2003,Kharif,675,Hectare,412,Tonnes,0.61037037
Andhra Pradesh,KHAMMAM,Bajra,01-04-2003,Rabi,61,Hectare,37,Tonnes,0.606557377
Andhra Pradesh,KRISHNA,Bajra,01-04-2003,Kharif,10,Hectare,14,Tonnes,1.4
Andhra Pradesh,KURNOOL,Bajra,01-02-2001,Kharif,13932,Hectare,11062,Tonnes,0.793999426
Andhra Pradesh,KURNOOL,Bajra,01-02-2001,Rabi,184,Hectare,146,Tonnes,0.793478261
Andhra Pradesh,KURNOOL,Bajra,01-03-2002,Kharif,10352,Hectare,6863,Tonnes,0.662963679
Andhra Pradesh,KURNOOL,Bajra,01-03-2002,Rabi,362,Hectare,240,Tonnes,0.662983425
Andhra Pradesh,KURNOOL,Bajra,01-04-2003,Kharif,14793,Hectare,17707,Tonnes,1.196985061
Andhra Pradesh,KURNOOL,Bajra,01-04-2003,Rabi,236,Hectare,282,Tonnes,1.194915254
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-02-2001,Kharif,17952,Hectare,8617,Tonnes,0.480002228
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-02-2001,Rabi,29,Hectare,14,Tonnes,0.482758621
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-03-2002,Kharif,11793,Hectare,6498,Tonnes,0.551004833
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-03-2002,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-04-2003,Kharif,11501,Hectare,6671,Tonnes,0.580036519
Andhra Pradesh,MAHBUBNAGAR,Bajra,01-04-2003,Rabi,48,Hectare,28,Tonnes,0.583333333
Andhra Pradesh,MEDAK,Bajra,01-02-2001,Kharif,870,Hectare,406,Tonnes,0.466666667
Andhra Pradesh,MEDAK,Bajra,01-03-2002,Kharif,588,Hectare,279,Tonnes,0.474489796
Andhra Pradesh,MEDAK,Bajra,01-04-2003,Kharif,665,Hectare,406,Tonnes,0.610526316
Andhra Pradesh,MEDAK,Bajra,01-04-2003,Rabi,9,Hectare,5,Tonnes,0.555555556
Andhra Pradesh,NALGONDA,Bajra,01-02-2001,Kharif,9786,Hectare,4325,Tonnes,0.441957899
Andhra Pradesh,NALGONDA,Bajra,01-02-2001,Rabi,24,Hectare,11,Tonnes,0.458333333
Andhra Pradesh,NALGONDA,Bajra,01-03-2002,Kharif,15097,Hectare,6235,Tonnes,0.412995959
Andhra Pradesh,NALGONDA,Bajra,01-04-2003,Kharif,21433,Hectare,13438,Tonnes,0.626977091
Andhra Pradesh,NALGONDA,Bajra,01-04-2003,Rabi,5,Hectare,3,Tonnes,0.6
Andhra Pradesh,NIZAMABAD,Bajra,01-02-2001,Rabi,5605,Hectare,2618,Tonnes,0.467082962
Andhra Pradesh,NIZAMABAD,Bajra,01-03-2002,Rabi,4503,Hectare,2134,Tonnes,0.473906285
Andhra Pradesh,NIZAMABAD,Bajra,01-04-2003,Rabi,4778,Hectare,2919,Tonnes,0.610925073
Andhra Pradesh,PRAKASAM,Bajra,01-02-2001,Kharif,7969,Hectare,9786,Tonnes,1.228008533
Andhra Pradesh,PRAKASAM,Bajra,01-02-2001,Rabi,717,Hectare,880,Tonnes,1.227336123
Andhra Pradesh,PRAKASAM,Bajra,01-03-2002,Kharif,10062,Hectare,9378,Tonnes,0.932021467
Andhra Pradesh,PRAKASAM,Bajra,01-03-2002,Rabi,198,Hectare,185,Tonnes,0.934343434
Andhra Pradesh,PRAKASAM,Bajra,01-04-2003,Kharif,26565,Hectare,37324,Tonnes,1.405006588
Andhra Pradesh,PRAKASAM,Bajra,01-04-2003,Rabi,66,Hectare,93,Tonnes,1.409090909
Andhra Pradesh,RANGAREDDI,Bajra,01-02-2001,Kharif,706,Hectare,330,Tonnes,0.467422096
Andhra Pradesh,RANGAREDDI,Bajra,01-02-2001,Rabi,34,Hectare,16,Tonnes,0.470588235
Andhra Pradesh,RANGAREDDI,Bajra,01-03-2002,Kharif,691,Hectare,328,Tonnes,0.474674385
Andhra Pradesh,RANGAREDDI,Bajra,01-03-2002,Rabi,1,Hectare,,Tonnes,0
Andhra Pradesh,RANGAREDDI,Bajra,01-04-2003,Kharif,969,Hectare,592,Tonnes,0.610939112
Andhra Pradesh,RANGAREDDI,Bajra,01-04-2003,Rabi,1,Hectare,1,Tonnes,1
Andhra Pradesh,SPSR NELLORE,Bajra,01-02-2001,Kharif,917,Hectare,1357,Tonnes,1.479825518
Andhra Pradesh,SPSR NELLORE,Bajra,01-02-2001,Rabi,67,Hectare,99,Tonnes,1.47761194
Andhra Pradesh,SPSR NELLORE,Bajra,01-03-2002,Kharif,1326,Hectare,1671,Tonnes,1.260180995
Andhra Pradesh,SPSR NELLORE,Bajra,01-03-2002,Rabi,36,Hectare,45,Tonnes,1.25
Andhra Pradesh,SPSR NELLORE,Bajra,01-04-2003,Kharif,1216,Hectare,1982,Tonnes,1.629934211
Andhra Pradesh,SPSR NELLORE,Bajra,01-04-2003,Rabi,12,Hectare,20,Tonnes,1.666666667
Andhra Pradesh,SRIKAKULAM,Bajra,01-02-2001,Kharif,2910,Hectare,2927,Tonnes,1.005841924
Andhra Pradesh,SRIKAKULAM,Bajra,01-03-2002,Kharif,3476,Hectare,4508,Tonnes,1.29689298
Andhra Pradesh,SRIKAKULAM,Bajra,01-04-2003,Kharif,3654,Hectare,8634,Tonnes,2.362889984
Andhra Pradesh,VISAKHAPATANAM,Bajra,01-02-2001,Kharif,15686,Hectare,13019,Tonnes,0.829975775
Andhra Pradesh,VISAKHAPATANAM,Bajra,01-03-2002,Kharif,14123,Hectare,8897,Tonnes,0.629965305
Andhra Pradesh,VISAKHAPATANAM,Bajra,01-03-2002,Rabi,2,Hectare,,Tonnes,0
Andhra Pradesh,VISAKHAPATANAM,Bajra,01-04-2003,Kharif,17771,Hectare,20312,Tonnes,1.142985763
Andhra Pradesh,VIZIANAGARAM,Bajra,01-02-2001,Kharif,2724,Hectare,2956,Tonnes,1.085168869
Andhra Pradesh,VIZIANAGARAM,Bajra,01-03-2002,Kharif,3090,Hectare,2735,Tonnes,0.885113269
Andhra Pradesh,VIZIANAGARAM,Bajra,01-04-2003,Kharif,1565,Hectare,2038,Tonnes,1.302236422
Andhra Pradesh,WARANGAL,Bajra,01-02-2001,Kharif,55,Hectare,26,Tonnes,0.472727273
