State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Jharkhand,GODDA,Barley,01-04-2003,Rabi,1051,Hectare,1250,Tonnes,1.188995329
Jharkhand,HAZARIBAGH,Barley,01-04-2003,Rabi,43,Hectare,37,Tonnes,0.850925926
Jharkhand,PALAMU,Barley,01-04-2003,Rabi,3425,Hectare,2703,Tonnes,0.788998753
Jharkhand,CHATRA,Gram,01-03-2002,Rabi,1316,Hectare,1139,Tonnes,0.865998267
Jharkhand,CHATRA,Gram,01-04-2003,Rabi,1580,Hectare,1492,Tonnes,0.943999291
Jharkhand,GARHWA,Gram,01-04-2003,Rabi,2991,Hectare,2324,Tonnes,0.776999151
Jharkhand,GODDA,Gram,01-03-2002,Rabi,139,Hectare,123,Tonnes,0.8859384
Jharkhand,GODDA,Gram,01-04-2003,Rabi,1182,Hectare,1114,Tonnes,0.943000753
Jharkhand,GUMLA,Gram,01-03-2002,Rabi,318,Hectare,173,Tonnes,0.541991206
Jharkhand,GUMLA,Gram,01-04-2003,Rabi,355,Hectare,546,Tonnes,1.538127712
Jharkhand,HAZARIBAGH,Gram,01-03-2002,Rabi,839,Hectare,682,Tonnes,0.811990659
Jharkhand,HAZARIBAGH,Gram,01-04-2003,Rabi,770,Hectare,742,Tonnes,0.964005508
Jharkhand,LATEHAR,Gram,01-04-2003,Rabi,1547,Hectare,970,Tonnes,0.626999877
Jharkhand,PAKUR,Gram,01-03-2002,Rabi,638,Hectare,811,Tonnes,1.269998433
Jharkhand,PAKUR,Gram,01-04-2003,Rabi,810,Hectare,1028,Tonnes,1.268996323
Jharkhand,PALAMU,Gram,01-03-2002,Rabi,4059,Hectare,3259,Tonnes,0.802998687
Jharkhand,PALAMU,Gram,01-04-2003,Rabi,4034,Hectare,3030,Tonnes,0.75100082
Jharkhand,RANCHI,Gram,01-03-2002,Rabi,1344,Hectare,977,Tonnes,0.726999546
Jharkhand,RANCHI,Gram,01-04-2003,Rabi,631,Hectare,546,Tonnes,0.865007924
Jharkhand,SAHEBGANJ,Gram,01-03-2002,Rabi,875,Hectare,969,Tonnes,1.107994101
Jharkhand,SAHEBGANJ,Gram,01-04-2003,Rabi,838,Hectare,806,Tonnes,0.962004773
Jharkhand,SIMDEGA,Gram,01-04-2003,Rabi,190,Hectare,105,Tonnes,0.55100427
Jharkhand,WEST SINGHBHUM,Gram,01-03-2002,Rabi,220,Hectare,179,Tonnes,0.815983607
Jharkhand,WEST SINGHBHUM,Gram,01-04-2003,Rabi,227,Hectare,159,Tonnes,0.697014991
Jharkhand,BOKARO,Maize,01-03-2002,Autumn,1589,Hectare,2223,Tonnes,1.398998289
Jharkhand,BOKARO,Maize,01-04-2003,Autumn,1590,Hectare,1902,Tonnes,1.195997283
Jharkhand,CHATRA,Maize,01-03-2002,Autumn,4680,Hectare,6767,Tonnes,1.446000812
Jharkhand,CHATRA,Maize,01-04-2003,Autumn,5153,Hectare,9213,Tonnes,1.788000528
Jharkhand,DEOGHAR,Maize,01-03-2002,Autumn,2778,Hectare,3012,Tonnes,1.084001641
Jharkhand,DEOGHAR,Maize,01-04-2003,Autumn,3157,Hectare,4300,Tonnes,1.361999766
Jharkhand,DHANBAD,Maize,01-03-2002,Autumn,1354,Hectare,1151,Tonnes,0.849997415
Jharkhand,DHANBAD,Maize,01-04-2003,Autumn,1544,Hectare,1741,Tonnes,1.127002422
Jharkhand,DUMKA,Maize,01-03-2002,Autumn,11002,Hectare,16503,Tonnes,1.499999546
Jharkhand,DUMKA,Maize,01-04-2003,Autumn,11047,Hectare,14151,Tonnes,1.281000205
Jharkhand,EAST SINGHBUM,Maize,01-04-2003,Autumn,1253,Hectare,995,Tonnes,0.794003128
Jharkhand,GARHWA,Maize,01-04-2003,Autumn,7420,Hectare,16813,Tonnes,2.266000431
