State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Telangana,ADILABAD,Bajra,,Rabi,204,Hectare,192,Tonnes,0.941176471
Telangana,ADILABAD,Bajra,,Rabi,1582,Hectare,1482,Tonnes,0.936788875
Telangana,ADILABAD,Bajra,,Rabi,1644,Hectare,1542,Tonnes,0.937956204
Telangana,KARIMNAGAR,Bajra,,Rabi,1968,Hectare,1854,Tonnes,0.942073171
Telangana,KARIMNAGAR,Bajra,,Rabi,1503,Hectare,1408,Tonnes,0.936793081
Telangana,KARIMNAGAR,Bajra,,Rabi,1037,Hectare,973,Tonnes,0.93828351
Telangana,KHAMMAM,Bajra,,Kharif,2,Hectare,2,Tonnes,1
Telangana,KHAMMAM,Bajra,,Rabi,6,Hectare,6,Tonnes,1
Telangana,MAHBUBNAGAR,Bajra,,Kharif,3137,Hectare,2902,Tonnes,0.925087663
Telangana,MAHBUBNAGAR,Bajra,,Kharif,1582,Hectare,1504,Tonnes,0.950695322
Telangana,MAHBUBNAGAR,Bajra,,Kharif,1223,Hectare,1166,Tonnes,0.953393295
Telangana,MEDAK,Bajra,,Kharif,232,Hectare,219,Tonnes,0.943965517
Telangana,MEDAK,Bajra,,Kharif,294,Hectare,275,Tonnes,0.93537415
Telangana,MEDAK,Bajra,,Rabi,9,Hectare,8,Tonnes,0.888888889
Telangana,MEDAK,Bajra,,Kharif,285,Hectare,267,Tonnes,0.936842105
Telangana,NALGONDA,Bajra,,Kharif,765,Hectare,773,Tonnes,1.010457516
Telangana,NALGONDA,Bajra,,Rabi,2,Hectare,2,Tonnes,1
Telangana,NALGONDA,Bajra,,Kharif,41,Hectare,17,Tonnes,0.414634146
Telangana,NALGONDA,Bajra,,Kharif,53,Hectare,31,Tonnes,0.58490566
Telangana,NALGONDA,Bajra,,Rabi,2,Hectare,1,Tonnes,0.5
Telangana,NIZAMABAD,Bajra,,Rabi,6755,Hectare,6363,Tonnes,0.941968912
Telangana,NIZAMABAD,Bajra,,Rabi,6063,Hectare,5681,Tonnes,0.936994887
Telangana,NIZAMABAD,Bajra,,Rabi,1581,Hectare,1483,Tonnes,0.938013915
Telangana,RANGAREDDI,Bajra,,Kharif,145,Hectare,137,Tonnes,0.944827586
Telangana,RANGAREDDI,Bajra,,Rabi,2,Hectare,2,Tonnes,1
Telangana,RANGAREDDI,Bajra,,Kharif,51,Hectare,48,Tonnes,0.941176471
Telangana,RANGAREDDI,Bajra,,Rabi,9,Hectare,8,Tonnes,0.888888889
Telangana,RANGAREDDI,Bajra,,Kharif,65,Hectare,61,Tonnes,0.938461538
Telangana,WARANGAL,Bajra,,Kharif,7,Hectare,7,Tonnes,1
Telangana,WARANGAL,Bajra,,Rabi,77,Hectare,72,Tonnes,0.935064935
Telangana,WARANGAL,Bajra,,Kharif,6,Hectare,6,Tonnes,1
Telangana,WARANGAL,Bajra,,Rabi,4,Hectare,4,Tonnes,1
Telangana,ADILABAD,Banana,,Kharif,11,Hectare,464,Tonnes,42.18181818
Telangana,ADILABAD,Banana,,Kharif,20,Hectare,957,Tonnes,47.85
Telangana,KARIMNAGAR,Banana,,Whole Year,14,Hectare,436,Tonnes,31.14285714
Telangana,KARIMNAGAR,Banana,,Kharif,31,Hectare,1307,Tonnes,42.16129032
Telangana,KARIMNAGAR,Banana,,Kharif,50,Hectare,2392,Tonnes,47.84
Telangana,KHAMMAM,Banana,,Whole Year,668,Hectare,20804,Tonnes,31.14371257
Telangana,KHAMMAM,Banana,,Kharif,358,Hectare,15518,Tonnes,43.34636872
Telangana,KHAMMAM,Banana,,Kharif,386,Hectare,23093,Tonnes,59.82642487
Telangana,MAHBUBNAGAR,Banana,,Kharif,2,Hectare,96,Tonnes,48
Telangana,MEDAK,Banana,,Whole Year,545,Hectare,16973,Tonnes,31.14311927
Telangana,MEDAK,Banana,,Kharif,904,Hectare,37703,Tonnes,41.70685841
Telangana,MEDAK,Banana,,Kharif,660,Hectare,26948,Tonnes,40.83030303
Telangana,NALGONDA,Banana,,Whole Year,11,Hectare,343,Tonnes,31.18181818
Telangana,NALGONDA,Banana,,Kharif,39,Hectare,1645,Tonnes,42.17948718
Telangana,NALGONDA,Banana,,Kharif,33,Hectare,1579,Tonnes,47.84848485
Telangana,NIZAMABAD,Banana,,Whole Year,46,Hectare,1433,Tonnes,31.15217391
Telangana,NIZAMABAD,Banana,,Kharif,44,Hectare,1856,Tonnes,42.18181818
Telangana,NIZAMABAD,Banana,,Kharif,98,Hectare,4688,Tonnes,47.83673469
Telangana,RANGAREDDI,Banana,,Whole Year,63,Hectare,1962,Tonnes,31.14285714
Telangana,RANGAREDDI,Banana,,Kharif,56,Hectare,2362,Tonnes,42.17857143
Telangana,RANGAREDDI,Banana,,Kharif,99,Hectare,4736,Tonnes,47.83838384
Telangana,WARANGAL,Banana,,Whole Year,175,Hectare,5450,Tonnes,31.14285714
Telangana,WARANGAL,Banana,,Kharif,264,Hectare,11133,Tonnes,42.17045455
Telangana,WARANGAL,Banana,,Kharif,408,Hectare,19519,Tonnes,47.84068627
Telangana,ADILABAD,Castor seed,,Kharif,125,Hectare,88,Tonnes,0.704
Telangana,ADILABAD,Castor seed,,Rabi,10,Hectare,7,Tonnes,0.7
Telangana,ADILABAD,Castor seed,,Kharif,91,Hectare,53,Tonnes,0.582417582
Telangana,ADILABAD,Castor seed,,Rabi,3,Hectare,2,Tonnes,0.666666667
Telangana,ADILABAD,Castor seed,,Kharif,59,Hectare,21,Tonnes,0.355932203
Telangana,KARIMNAGAR,Castor seed,,Kharif,13,Hectare,9,Tonnes,0.692307692
